var_name,date,value
nonresidential,1962Q4,9.632
structures,1962Q4,49.247
equipment,1962Q4,5.958
intellectual,1962Q4,4.136
residential,1962Q4,55.235
gdp,1963Q1,22.387
c,1963Q1,20.047
investment,1963Q1,15.644
fixed_i,1963Q1,15.475
nonresidential,1963Q1,9.655
structures,1963Q1,47.534
equipment,1963Q1,6.068
intellectual,1963Q1,4.271
residential,1963Q1,57.185
gdp,1963Q2,22.638
c,1963Q2,20.236
investment,1963Q2,15.893
fixed_i,1963Q2,16.164
nonresidential,1963Q2,9.955
structures,1963Q2,49.787
equipment,1963Q2,6.19
intellectual,1963Q2,4.418
residential,1963Q2,61.285
gdp,1963Q3,23.136
c,1963Q3,20.51
investment,1963Q3,16.383
fixed_i,1963Q3,16.562
nonresidential,1963Q3,10.228
structures,1963Q3,50.132
equipment,1963Q3,6.456
intellectual,1963Q3,4.497
residential,1963Q3,62.457
gdp,1963Q4,23.287
c,1963Q4,20.681
investment,1963Q4,16.582
fixed_i,1963Q4,17.058
nonresidential,1963Q4,10.527
structures,1963Q4,51.156
equipment,1963Q4,6.709
intellectual,1963Q4,4.551
residential,1963Q4,64.418
gdp,1964Q1,23.778
c,1964Q1,21.087
investment,1964Q1,17.202
fixed_i,1964Q1,17.648
nonresidential,1964Q1,10.747
structures,1964Q1,52.481
equipment,1964Q1,6.874
intellectual,1964Q1,4.533
residential,1964Q1,68.376
gdp,1964Q2,24.037
c,1964Q2,21.46
investment,1964Q2,17.14
fixed_i,1964Q2,17.615
nonresidential,1964Q2,10.999
structures,1964Q2,54.258
equipment,1964Q2,7.015
intellectual,1964Q2,4.578
residential,1964Q2,64.974
gdp,1964Q3,24.413
c,1964Q3,21.857
investment,1964Q3,17.54
fixed_i,1964Q3,17.902
nonresidential,1964Q3,11.353
structures,1964Q3,56.038
equipment,1964Q3,7.264
intellectual,1964Q3,4.662
residential,1964Q3,63.934
gdp,1964Q4,24.488
c,1964Q4,21.919
investment,1964Q4,17.707
fixed_i,1964Q4,18.058
nonresidential,1964Q4,11.595
structures,1964Q4,56.483
equipment,1964Q4,7.479
intellectual,1964Q4,4.762
residential,1964Q4,62.799
gdp,1965Q1,25.081
c,1965Q1,22.408
investment,1965Q1,19.395
fixed_i,1965Q1,18.874
nonresidential,1965Q1,12.333
structures,1965Q1,59.38
equipment,1965Q1,8.049
intellectual,1965Q1,4.971
residential,1965Q1,63.108
gdp,1965Q2,25.397
c,1965Q2,22.655
investment,1965Q2,19.446
